learner_id,skill_level,predicted_performance,performance_band,risk_probability,risk_status,strengths_count,weaknesses_count,developing_count,behavior_signals_count
LEARNER_0343,Intermediate,74.82,Moderate,0.0,Low Risk,6,2,1,4
LEARNER_0344,Beginner,41.89,Low,1.0,High Risk,0,8,1,3
LEARNER_0345,Intermediate,91.8,High,0.0,Low Risk,8,0,1,3
LEARNER_0346,Beginner,38.83,Low,1.0,High Risk,0,7,2,3
LEARNER_0347,Beginner,64.4,Moderate,0.0023,Low Risk,4,2,3,3
LEARNER_0348,Beginner,53.19,Moderate,0.918,High Risk,0,8,1,2
LEARNER_0349,Intermediate,59.92,Moderate,0.0359,Low Risk,2,4,3,3
LEARNER_0350,Intermediate,68.46,Moderate,0.0001,Low Risk,2,3,4,3
LEARNER_0351,Intermediate,68.23,Moderate,0.0001,Low Risk,2,2,5,3
LEARNER_0352,Intermediate,70.37,Moderate,0.0,Low Risk,3,3,3,3
LEARNER_0353,Advanced,89.01,High,0.0,Low Risk,9,0,0,4
LEARNER_0354,Intermediate,73.7,Moderate,0.0,Low Risk,3,2,4,4
LEARNER_0355,Beginner,54.05,Moderate,0.5223,Moderate Risk,0,5,4,2
LEARNER_0356,Advanced,76.84,High,0.0,Low Risk,7,1,1,4
LEARNER_0357,Advanced,82.37,High,0.0,Low Risk,8,0,1,2
LEARNER_0358,Beginner,40.67,Low,1.0,High Risk,0,8,1,3
LEARNER_0359,Intermediate,71.02,Moderate,0.0,Low Risk,4,2,3,2
LEARNER_0360,Intermediate,74.03,Moderate,0.0,Low Risk,5,0,4,2
LEARNER_0361,Intermediate,57.48,Moderate,0.037,Low Risk,0,5,4,0
LEARNER_0362,Intermediate,85.34,High,0.0,Low Risk,8,0,1,2
LEARNER_0363,Intermediate,60.74,Moderate,0.0062,Low Risk,1,5,3,2
LEARNER_0364,Intermediate,66.41,Moderate,0.0003,Low Risk,2,1,6,2
LEARNER_0365,Intermediate,58.85,Moderate,0.2297,Low Risk,1,4,4,2
LEARNER_0366,Intermediate,58.79,Moderate,0.1688,Low Risk,3,4,2,3
LEARNER_0367,Beginner,42.13,Low,1.0,High Risk,0,8,1,4
LEARNER_0368,Beginner,39.26,Low,1.0,High Risk,0,7,2,4
LEARNER_0369,Advanced,87.15,High,0.0,Low Risk,9,0,0,4
LEARNER_0370,Beginner,46.49,Low,0.9981,High Risk,0,7,2,4
LEARNER_0371,Beginner,49.62,Low,0.9972,High Risk,0,7,2,2
LEARNER_0372,Beginner,29.33,Low,1.0,High Risk,0,9,0,3
LEARNER_0373,Beginner,47.16,Low,0.9925,High Risk,1,6,2,3
LEARNER_0374,Beginner,37.09,Low,1.0,High Risk,0,9,0,3
LEARNER_0375,Advanced,85.74,High,0.0,Low Risk,7,0,2,3
LEARNER_0376,Intermediate,76.98,High,0.0,Low Risk,6,1,2,1
LEARNER_0377,Beginner,49.16,Low,0.9876,High Risk,0,6,3,3
LEARNER_0378,Advanced,96.21,High,0.0,Low Risk,9,0,0,2
LEARNER_0379,Advanced,78.79,High,0.0,Low Risk,6,0,3,3
LEARNER_0380,Beginner,56.15,Moderate,0.2787,Low Risk,2,5,2,3
LEARNER_0381,Beginner,23.42,Low,1.0,High Risk,0,9,0,4
LEARNER_0382,Advanced,90.46,High,0.0,Low Risk,9,0,0,3
LEARNER_0383,Beginner,33.21,Low,1.0,High Risk,0,7,2,3
LEARNER_0384,Beginner,34.07,Low,1.0,High Risk,0,8,1,3
LEARNER_0385,Intermediate,79.88,High,0.0,Low Risk,3,1,5,2
LEARNER_0386,Advanced,94.04,High,0.0,Low Risk,9,0,0,3
LEARNER_0387,Advanced,82.5,High,0.0,Low Risk,7,0,2,4
LEARNER_0388,Intermediate,68.3,Moderate,0.0002,Low Risk,4,2,3,2
LEARNER_0389,Intermediate,74.75,Moderate,0.0,Low Risk,5,0,4,4
LEARNER_0390,Intermediate,74.36,Moderate,0.0,Low Risk,5,1,3,4
LEARNER_0391,Intermediate,72.07,Moderate,0.0,Low Risk,3,1,5,3
LEARNER_0392,Intermediate,69.27,Moderate,0.0001,Low Risk,6,1,2,4
LEARNER_0393,Beginner,57.69,Moderate,0.0778,Low Risk,1,5,3,2
LEARNER_0394,Beginner,57.9,Moderate,0.0626,Low Risk,2,3,4,3
LEARNER_0395,Beginner,47.91,Low,0.9987,High Risk,0,6,3,3
LEARNER_0396,Intermediate,62.56,Moderate,0.0076,Low Risk,1,4,4,3
LEARNER_0397,Beginner,30.8,Low,1.0,High Risk,0,9,0,4
LEARNER_0398,Beginner,57.15,Moderate,0.3158,Moderate Risk,3,3,3,3
LEARNER_0399,Beginner,52.24,Moderate,0.9434,High Risk,1,7,1,3
LEARNER_0400,Beginner,45.4,Low,0.9996,High Risk,0,6,3,3
LEARNER_0401,Intermediate,63.39,Moderate,0.0008,Low Risk,1,3,5,3
LEARNER_0402,Advanced,83.57,High,0.0,Low Risk,7,0,2,3
LEARNER_0403,Intermediate,74.08,Moderate,0.0,Low Risk,5,0,4,3
LEARNER_0404,Beginner,35.07,Low,1.0,High Risk,0,8,1,3
LEARNER_0405,Beginner,43.94,Low,0.9999,High Risk,0,8,1,4
LEARNER_0406,Intermediate,78.48,High,0.0,Low Risk,6,0,3,3
LEARNER_0407,Beginner,48.44,Low,0.9962,High Risk,0,7,2,4
LEARNER_0408,Intermediate,58.79,Moderate,0.2994,Low Risk,1,4,4,2
LEARNER_0409,Intermediate,67.8,Moderate,0.0002,Low Risk,3,3,3,4
LEARNER_0410,Beginner,51.28,Moderate,0.9675,High Risk,1,8,0,2
LEARNER_0411,Intermediate,62.11,Moderate,0.0137,Low Risk,3,4,2,2
LEARNER_0412,Beginner,38.23,Low,1.0,High Risk,0,8,1,3
LEARNER_0413,Intermediate,57.7,Moderate,0.0988,Low Risk,1,6,2,4
LEARNER_0414,Intermediate,60.67,Moderate,0.0469,Low Risk,3,3,3,2
LEARNER_0415,Beginner,27.36,Low,1.0,High Risk,0,8,1,4
LEARNER_0416,Intermediate,65.01,Moderate,0.0024,Low Risk,3,3,3,3
LEARNER_0417,Intermediate,65.94,Moderate,0.0002,Low Risk,1,3,5,3
LEARNER_0418,Intermediate,67.91,Moderate,0.0002,Low Risk,4,1,4,3
LEARNER_0419,Intermediate,59.04,Moderate,0.3731,Moderate Risk,3,2,4,2
LEARNER_0420,Advanced,86.72,High,0.0,Low Risk,8,0,1,2
LEARNER_0421,Intermediate,67.21,Moderate,0.0,Low Risk,4,3,2,2
LEARNER_0422,Beginner,53.11,Moderate,0.8965,High Risk,1,5,3,2
LEARNER_0423,Intermediate,61.39,Moderate,0.0289,Low Risk,1,6,2,3
LEARNER_0424,Intermediate,74.58,Moderate,0.0,Low Risk,5,1,3,3
LEARNER_0425,Intermediate,66.46,Moderate,0.0003,Low Risk,3,2,4,1
LEARNER_0426,Intermediate,63.38,Moderate,0.0104,Low Risk,3,4,2,3
LEARNER_0427,Beginner,57.73,Moderate,0.2406,Low Risk,2,4,3,4
LEARNER_0428,Beginner,45.24,Low,0.9993,High Risk,0,7,2,2
LEARNER_0429,Beginner,37.8,Low,1.0,High Risk,0,6,3,4
LEARNER_0430,Advanced,89.21,High,0.0,Low Risk,9,0,0,4
LEARNER_0431,Beginner,40.43,Low,1.0,High Risk,0,8,1,4
LEARNER_0432,Beginner,48.53,Low,0.9848,High Risk,0,5,4,3
LEARNER_0433,Beginner,55.2,Moderate,0.2918,Low Risk,0,6,3,2
LEARNER_0434,Advanced,75.93,High,0.0,Low Risk,6,0,3,4
LEARNER_0435,Beginner,56.09,Moderate,0.4103,Moderate Risk,2,4,3,2
LEARNER_0436,Advanced,86.4,High,0.0,Low Risk,9,0,0,4
LEARNER_0437,Beginner,52.28,Moderate,0.9271,High Risk,1,6,2,3
LEARNER_0438,Intermediate,61.65,Moderate,0.0023,Low Risk,3,4,2,2
LEARNER_0439,Beginner,49.58,Low,0.9672,High Risk,0,6,3,4
LEARNER_0440,Advanced,91.45,High,0.0,Low Risk,9,0,0,2
LEARNER_0441,Beginner,42.52,Low,0.9999,High Risk,0,7,2,3
LEARNER_0442,Intermediate,71.53,Moderate,0.0,Low Risk,5,0,4,2
LEARNER_0443,Intermediate,74.44,Moderate,0.0,Low Risk,4,1,4,4
LEARNER_0444,Intermediate,71.25,Moderate,0.0,Low Risk,2,3,4,4
LEARNER_0445,Intermediate,63.06,Moderate,0.0209,Low Risk,2,3,4,2
LEARNER_0446,Intermediate,62.05,Moderate,0.0008,Low Risk,3,4,2,3
LEARNER_0447,Intermediate,66.87,Moderate,0.0001,Low Risk,3,2,4,3
LEARNER_0448,Intermediate,62.07,Moderate,0.0358,Low Risk,1,6,2,2
LEARNER_0449,Advanced,78.84,High,0.0,Low Risk,3,0,6,3
LEARNER_0450,Advanced,95.29,High,0.0,Low Risk,9,0,0,3
LEARNER_0451,Beginner,51.53,Moderate,0.9638,High Risk,1,6,2,3
LEARNER_0452,Beginner,41.36,Low,0.9999,High Risk,0,8,1,3
LEARNER_0453,Beginner,52.83,Moderate,0.8057,High Risk,1,4,4,2
LEARNER_0454,Advanced,92.62,High,0.0,Low Risk,9,0,0,2
LEARNER_0455,Beginner,43.77,Low,0.9998,High Risk,0,7,2,4
LEARNER_0456,Advanced,91.75,High,0.0,Low Risk,9,0,0,4
LEARNER_0457,Advanced,83.76,High,0.0,Low Risk,6,0,3,3
LEARNER_0458,Beginner,53.91,Moderate,0.8045,High Risk,0,4,5,3
LEARNER_0459,Intermediate,74.68,Moderate,0.0,Low Risk,5,2,2,3
LEARNER_0460,Advanced,91.44,High,0.0,Low Risk,9,0,0,2
LEARNER_0461,Beginner,52.07,Moderate,0.9658,High Risk,1,5,3,2
LEARNER_0462,Intermediate,60.6,Moderate,0.0243,Low Risk,1,5,3,4
LEARNER_0463,Beginner,51.71,Moderate,0.9419,High Risk,0,6,3,4
LEARNER_0464,Beginner,46.08,Low,0.9998,High Risk,0,6,3,4
LEARNER_0465,Beginner,56.07,Moderate,0.34,Moderate Risk,3,6,0,3
LEARNER_0466,Beginner,40.02,Low,1.0,High Risk,1,8,0,3
LEARNER_0467,Intermediate,63.99,Moderate,0.0027,Low Risk,4,2,3,2
LEARNER_0468,Beginner,47.61,Low,0.9937,High Risk,0,6,3,4
LEARNER_0469,Intermediate,68.13,Moderate,0.0002,Low Risk,4,2,3,2
LEARNER_0470,Beginner,36.47,Low,1.0,High Risk,0,9,0,3
LEARNER_0471,Intermediate,69.98,Moderate,0.0,Low Risk,3,1,5,4
LEARNER_0472,Intermediate,75.16,High,0.0,Low Risk,5,2,2,2
LEARNER_0473,Beginner,30.32,Low,1.0,High Risk,0,8,1,4
LEARNER_0474,Intermediate,65.96,Moderate,0.0005,Low Risk,2,2,5,4
LEARNER_0475,Advanced,79.08,High,0.0,Low Risk,6,0,3,4
LEARNER_0476,Beginner,41.63,Low,1.0,High Risk,0,8,1,3
LEARNER_0477,Advanced,88.35,High,0.0,Low Risk,7,0,2,3
LEARNER_0478,Intermediate,69.36,Moderate,0.0,Low Risk,5,3,1,3
LEARNER_0479,Beginner,45.6,Low,0.9958,High Risk,0,7,2,3
LEARNER_0480,Intermediate,63.63,Moderate,0.0083,Low Risk,1,3,5,4
LEARNER_0481,Intermediate,75.16,High,0.0,Low Risk,4,1,4,3
LEARNER_0482,Intermediate,64.23,Moderate,0.0032,Low Risk,2,2,5,3
LEARNER_0483,Intermediate,75.93,High,0.0,Low Risk,5,1,3,3
LEARNER_0484,Beginner,45.86,Low,0.9992,High Risk,0,8,1,3
LEARNER_0485,Intermediate,69.05,Moderate,0.0,Low Risk,2,1,6,3
LEARNER_0486,Beginner,43.1,Low,0.9999,High Risk,0,7,2,2
LEARNER_0487,Beginner,59.91,Moderate,0.1333,Low Risk,1,3,5,3
LEARNER_0488,Beginner,46.23,Low,0.9994,High Risk,0,6,3,3
LEARNER_0489,Beginner,44.97,Low,0.9994,High Risk,0,7,2,3
LEARNER_0490,Advanced,84.56,High,0.0,Low Risk,5,0,4,3
LEARNER_0491,Intermediate,80.53,High,0.0,Low Risk,6,0,3,2
LEARNER_0492,Intermediate,76.67,High,0.0,Low Risk,5,0,4,3
LEARNER_0493,Beginner,37.76,Low,1.0,High Risk,1,7,1,4
LEARNER_0494,Beginner,54.01,Moderate,0.8012,High Risk,2,5,2,2
LEARNER_0495,Advanced,77.42,High,0.0,Low Risk,7,0,2,4
LEARNER_0496,Intermediate,64.09,Moderate,0.0039,Low Risk,3,4,2,3
LEARNER_0497,Advanced,91.73,High,0.0,Low Risk,9,0,0,3
LEARNER_0498,Intermediate,61.23,Moderate,0.0197,Low Risk,3,4,2,2
LEARNER_0499,Intermediate,64.99,Moderate,0.0004,Low Risk,4,2,3,3
LEARNER_0500,Intermediate,58.74,Moderate,0.0983,Low Risk,1,5,3,2
LEARNER_0501,Intermediate,65.03,Moderate,0.0014,Low Risk,3,4,2,2
LEARNER_0502,Beginner,57.07,Moderate,0.4699,Moderate Risk,0,4,5,2
LEARNER_0503,Intermediate,79.83,High,0.0,Low Risk,5,1,3,3
LEARNER_0504,Intermediate,81.45,High,0.0,Low Risk,6,1,2,3
LEARNER_0505,Beginner,47.52,Low,0.9944,High Risk,0,6,3,3
LEARNER_0506,Beginner,39.23,Low,1.0,High Risk,0,7,2,2
LEARNER_0507,Beginner,29.87,Low,1.0,High Risk,0,9,0,3
LEARNER_0508,Intermediate,72.08,Moderate,0.0,Low Risk,2,2,5,3
LEARNER_0509,Beginner,44.6,Low,0.9997,High Risk,0,9,0,4
LEARNER_0510,Beginner,32.61,Low,1.0,High Risk,0,8,1,3
LEARNER_0511,Intermediate,74.35,Moderate,0.0,Low Risk,3,2,4,2
LEARNER_0512,Advanced,95.67,High,0.0,Low Risk,9,0,0,3
LEARNER_0513,Intermediate,58.95,Moderate,0.0883,Low Risk,2,4,3,4
LEARNER_0514,Intermediate,76.05,High,0.0,Low Risk,5,0,4,3
LEARNER_0515,Intermediate,63.93,Moderate,0.0011,Low Risk,2,4,3,2
LEARNER_0516,Intermediate,58.47,Moderate,0.2034,Low Risk,1,2,6,3
LEARNER_0517,Intermediate,74.72,Moderate,0.0,Low Risk,5,0,4,3
LEARNER_0518,Intermediate,58.37,Moderate,0.0514,Low Risk,1,5,3,3
LEARNER_0519,Intermediate,62.94,Moderate,0.0009,Low Risk,3,5,1,3
LEARNER_0520,Intermediate,68.06,Moderate,0.0003,Low Risk,4,1,4,3
LEARNER_0521,Beginner,49.56,Low,0.9842,High Risk,1,6,2,2
LEARNER_0522,Intermediate,71.63,Moderate,0.0,Low Risk,6,1,2,2
LEARNER_0523,Intermediate,59.8,Moderate,0.0324,Low Risk,2,4,3,2
LEARNER_0524,Beginner,48.57,Low,0.9954,High Risk,0,8,1,3
LEARNER_0525,Intermediate,67.21,Moderate,0.0001,Low Risk,2,2,5,4
LEARNER_0526,Beginner,47.4,Low,0.994,High Risk,0,9,0,2
LEARNER_0527,Intermediate,59.61,Moderate,0.0444,Low Risk,2,5,2,3
LEARNER_0528,Intermediate,61.94,Moderate,0.0405,Low Risk,2,5,2,2
LEARNER_0529,Advanced,81.04,High,0.0,Low Risk,7,1,1,2
LEARNER_0530,Intermediate,67.63,Moderate,0.0,Low Risk,2,4,3,3
LEARNER_0531,Intermediate,60.18,Moderate,0.0172,Low Risk,2,3,4,2
LEARNER_0532,Intermediate,76.58,High,0.0,Low Risk,5,0,4,3
LEARNER_0533,Advanced,83.02,High,0.0,Low Risk,8,0,1,4
LEARNER_0534,Intermediate,70.94,Moderate,0.0,Low Risk,1,0,8,1
LEARNER_0535,Intermediate,62.32,Moderate,0.004,Low Risk,0,3,6,3
LEARNER_0536,Beginner,42.6,Low,1.0,High Risk,0,7,2,3
LEARNER_0537,Beginner,46.88,Low,0.9983,High Risk,1,5,3,3
LEARNER_0538,Beginner,58.11,Moderate,0.2059,Low Risk,0,4,5,3
LEARNER_0539,Beginner,53.52,Moderate,0.8729,High Risk,2,6,1,2
LEARNER_0540,Intermediate,59.44,Moderate,0.0597,Low Risk,1,4,4,2
LEARNER_0541,Intermediate,65.24,Moderate,0.0009,Low Risk,3,4,2,2
LEARNER_0542,Intermediate,70.17,Moderate,0.0,Low Risk,3,0,6,2
LEARNER_0543,Beginner,66.05,Moderate,0.0008,Low Risk,4,3,2,4
LEARNER_0544,Intermediate,71.78,Moderate,0.0,Low Risk,3,1,5,4
LEARNER_0545,Intermediate,62.41,Moderate,0.0136,Low Risk,3,3,3,4
LEARNER_0546,Beginner,32.76,Low,1.0,High Risk,0,9,0,4
LEARNER_0547,Beginner,41.03,Low,1.0,High Risk,0,7,2,4
LEARNER_0548,Intermediate,59.19,Moderate,0.0609,Low Risk,2,6,1,2
LEARNER_0549,Beginner,48.61,Low,0.9864,High Risk,0,8,1,3
LEARNER_0550,Intermediate,72.42,Moderate,0.0,Low Risk,7,0,2,4
LEARNER_0551,Advanced,86.2,High,0.0,Low Risk,9,0,0,4
LEARNER_0552,Intermediate,76.75,High,0.0,Low Risk,8,0,1,3
LEARNER_0553,Intermediate,60.36,Moderate,0.176,Low Risk,3,4,2,2
LEARNER_0554,Advanced,88.31,High,0.0,Low Risk,7,0,2,4
LEARNER_0555,Intermediate,62.73,Moderate,0.0023,Low Risk,1,5,3,4
LEARNER_0556,Beginner,51.48,Moderate,0.8919,High Risk,0,4,5,4
LEARNER_0557,Beginner,46.24,Low,0.9976,High Risk,0,6,3,3
LEARNER_0558,Beginner,56.16,Moderate,0.1771,Low Risk,2,5,2,1
LEARNER_0559,Beginner,53.48,Moderate,0.891,High Risk,1,6,2,2
LEARNER_0560,Intermediate,66.65,Moderate,0.0004,Low Risk,2,2,5,3
LEARNER_0561,Intermediate,64.93,Moderate,0.0005,Low Risk,2,3,4,4
LEARNER_0562,Intermediate,63.02,Moderate,0.003,Low Risk,0,4,5,3
LEARNER_0563,Intermediate,69.29,Moderate,0.0001,Low Risk,3,1,5,3
LEARNER_0564,Advanced,84.59,High,0.0,Low Risk,9,0,0,2
LEARNER_0565,Intermediate,71.39,Moderate,0.0,Low Risk,4,1,4,0
LEARNER_0566,Beginner,42.58,Low,0.9999,High Risk,0,8,1,2
LEARNER_0567,Beginner,21.07,Low,1.0,High Risk,0,9,0,4
LEARNER_0568,Intermediate,74.52,Moderate,0.0,Low Risk,6,0,3,3
LEARNER_0569,Beginner,35.42,Low,1.0,High Risk,0,7,2,3
LEARNER_0570,Beginner,53.54,Moderate,0.9302,High Risk,0,5,4,2
LEARNER_0571,Beginner,38.34,Low,1.0,High Risk,0,8,1,3
LEARNER_0572,Beginner,31.23,Low,1.0,High Risk,0,9,0,4
LEARNER_0573,Intermediate,71.36,Moderate,0.0,Low Risk,4,0,5,4
LEARNER_0574,Intermediate,73.17,Moderate,0.0,Low Risk,5,1,3,3
LEARNER_0575,Beginner,52.88,Moderate,0.9363,High Risk,1,6,2,4
LEARNER_0576,Beginner,27.41,Low,1.0,High Risk,0,8,1,4
LEARNER_0577,Beginner,50.49,Moderate,0.9807,High Risk,0,6,3,2
LEARNER_0578,Intermediate,61.82,Moderate,0.0016,Low Risk,2,2,5,3
LEARNER_0579,Beginner,33.16,Low,1.0,High Risk,0,9,0,4
LEARNER_0580,Intermediate,65.47,Moderate,0.0006,Low Risk,3,3,3,3
LEARNER_0581,Beginner,61.38,Moderate,0.0132,Low Risk,3,4,2,3
LEARNER_0582,Intermediate,67.97,Moderate,0.0001,Low Risk,3,1,5,2
LEARNER_0583,Beginner,60.79,Moderate,0.0164,Low Risk,2,6,1,3
LEARNER_0584,Beginner,45.43,Low,0.9988,High Risk,0,8,1,3
LEARNER_0585,Advanced,79.54,High,0.0,Low Risk,6,0,3,4
LEARNER_0586,Intermediate,65.84,Moderate,0.0009,Low Risk,2,4,3,4
LEARNER_0587,Intermediate,61.4,Moderate,0.0693,Low Risk,1,4,4,2
LEARNER_0588,Beginner,43.58,Low,0.9999,High Risk,1,6,2,4
LEARNER_0589,Beginner,48.8,Low,0.9893,High Risk,1,7,1,2
LEARNER_0590,Beginner,50.79,Moderate,0.9861,High Risk,1,6,2,2
LEARNER_0591,Beginner,51.11,Moderate,0.9606,High Risk,1,5,3,2
LEARNER_0592,Advanced,85.15,High,0.0,Low Risk,9,0,0,2
LEARNER_0593,Beginner,39.4,Low,1.0,High Risk,0,6,3,2
LEARNER_0594,Beginner,37.45,Low,1.0,High Risk,0,9,0,3
LEARNER_0595,Intermediate,83.15,High,0.0,Low Risk,7,0,2,4
LEARNER_0596,Intermediate,61.45,Moderate,0.0238,Low Risk,1,4,4,3
LEARNER_0597,Beginner,50.74,Moderate,0.9893,High Risk,0,4,5,3
LEARNER_0598,Intermediate,76.79,High,0.0,Low Risk,5,1,3,2
LEARNER_0599,Beginner,55.43,Moderate,0.7602,High Risk,0,5,4,2
LEARNER_0600,Advanced,89.6,High,0.0,Low Risk,9,0,0,3
LEARNER_0601,Intermediate,77.97,High,0.0,Low Risk,6,0,3,4
LEARNER_0602,Beginner,53.48,Moderate,0.9288,High Risk,2,5,2,2
LEARNER_0603,Advanced,89.68,High,0.0,Low Risk,9,0,0,2
LEARNER_0604,Beginner,54.16,Moderate,0.8156,High Risk,0,7,2,2
LEARNER_0605,Intermediate,74.3,Moderate,0.0,Low Risk,5,1,3,4
LEARNER_0606,Intermediate,64.54,Moderate,0.0014,Low Risk,3,3,3,2
LEARNER_0607,Advanced,82.39,High,0.0,Low Risk,7,0,2,3
LEARNER_0608,Advanced,82.45,High,0.0,Low Risk,9,0,0,3
LEARNER_0609,Intermediate,65.22,Moderate,0.0007,Low Risk,2,1,6,4
LEARNER_0610,Beginner,48.82,Low,0.9848,High Risk,0,6,3,2
LEARNER_0611,Intermediate,62.59,Moderate,0.0064,Low Risk,1,2,6,2
LEARNER_0612,Beginner,55.34,Moderate,0.4972,Moderate Risk,2,5,2,3
LEARNER_0613,Advanced,90.99,High,0.0,Low Risk,9,0,0,3
LEARNER_0614,Intermediate,59.28,Moderate,0.0248,Low Risk,0,4,5,2
LEARNER_0615,Beginner,55.68,Moderate,0.1941,Low Risk,1,6,2,3
LEARNER_0616,Intermediate,60.52,Moderate,0.0181,Low Risk,1,3,5,1
LEARNER_0617,Beginner,39.47,Low,1.0,High Risk,0,8,1,4
LEARNER_0618,Beginner,43.53,Low,0.9999,High Risk,1,7,1,3
LEARNER_0619,Intermediate,79.14,High,0.0,Low Risk,6,0,3,4
LEARNER_0620,Beginner,51.94,Moderate,0.8659,High Risk,0,6,3,3
LEARNER_0621,Beginner,42.44,Low,1.0,High Risk,0,6,3,4
LEARNER_0622,Intermediate,70.72,Moderate,0.0001,Low Risk,5,2,2,4
LEARNER_0623,Advanced,80.9,High,0.0,Low Risk,7,0,2,3
LEARNER_0624,Intermediate,76.63,High,0.0,Low Risk,6,0,3,4
LEARNER_0625,Advanced,78.34,High,0.0,Low Risk,4,0,5,3
LEARNER_0626,Beginner,51.64,Moderate,0.9312,High Risk,0,6,3,4
LEARNER_0627,Beginner,34.25,Low,1.0,High Risk,0,8,1,4
LEARNER_0628,Advanced,87.23,High,0.0,Low Risk,9,0,0,3
LEARNER_0629,Beginner,55.73,Moderate,0.3197,Moderate Risk,1,5,3,3
LEARNER_0630,Intermediate,63.78,Moderate,0.0067,Low Risk,1,3,5,3
LEARNER_0631,Intermediate,83.2,High,0.0,Low Risk,8,1,0,4
LEARNER_0632,Intermediate,70.19,Moderate,0.0,Low Risk,3,1,5,4
LEARNER_0633,Intermediate,65.66,Moderate,0.0004,Low Risk,3,1,5,3
LEARNER_0634,Advanced,91.26,High,0.0,Low Risk,9,0,0,3
LEARNER_0635,Beginner,50.67,Moderate,0.988,High Risk,1,6,2,3
LEARNER_0636,Intermediate,78.32,High,0.0,Low Risk,5,1,3,2
LEARNER_0637,Intermediate,61.41,Moderate,0.0116,Low Risk,2,5,2,4
LEARNER_0638,Intermediate,61.05,Moderate,0.0131,Low Risk,3,3,3,3
LEARNER_0639,Intermediate,86.46,High,0.0,Low Risk,7,0,2,2
LEARNER_0640,Intermediate,61.77,Moderate,0.0126,Low Risk,3,3,3,2
LEARNER_0641,Intermediate,73.27,Moderate,0.0,Low Risk,3,1,5,3
LEARNER_0642,Intermediate,75.9,High,0.0,Low Risk,6,0,3,4
LEARNER_0643,Intermediate,60.3,Moderate,0.0283,Low Risk,0,5,4,2
LEARNER_0644,Beginner,49.92,Low,0.9871,High Risk,0,6,3,2
LEARNER_0645,Beginner,39.07,Low,1.0,High Risk,0,9,0,4
LEARNER_0646,Beginner,30.09,Low,1.0,High Risk,0,9,0,4
LEARNER_0647,Advanced,90.07,High,0.0,Low Risk,8,0,1,3
LEARNER_0648,Beginner,41.73,Low,0.9999,High Risk,0,8,1,2
LEARNER_0649,Intermediate,59.44,Moderate,0.0289,Low Risk,1,6,2,2
LEARNER_0650,Beginner,54.13,Moderate,0.5143,Moderate Risk,1,4,4,2
LEARNER_0651,Intermediate,62.41,Moderate,0.0072,Low Risk,3,3,3,4
LEARNER_0652,Intermediate,73.09,Moderate,0.0,Low Risk,7,0,2,3
LEARNER_0653,Advanced,76.81,High,0.0,Low Risk,5,0,4,3
LEARNER_0654,Beginner,49.83,Low,0.981,High Risk,0,6,3,2
LEARNER_0655,Beginner,57.39,Moderate,0.1649,Low Risk,1,6,2,3
LEARNER_0656,Intermediate,67.51,Moderate,0.0001,Low Risk,4,2,3,4
LEARNER_0657,Intermediate,59.08,Moderate,0.0557,Low Risk,0,4,5,2
LEARNER_0658,Advanced,87.79,High,0.0,Low Risk,8,0,1,2
LEARNER_0659,Intermediate,70.71,Moderate,0.0,Low Risk,4,2,3,2
LEARNER_0660,Intermediate,74.83,Moderate,0.0,Low Risk,5,1,3,3
LEARNER_0661,Intermediate,68.66,Moderate,0.0,Low Risk,5,2,2,4
LEARNER_0662,Intermediate,80.9,High,0.0,Low Risk,8,0,1,4
LEARNER_0663,Intermediate,63.14,Moderate,0.0024,Low Risk,2,2,5,2
LEARNER_0664,Beginner,42.57,Low,0.9999,High Risk,0,8,1,2
LEARNER_0665,Intermediate,66.68,Moderate,0.0002,Low Risk,2,1,6,3
LEARNER_0666,Beginner,49.94,Low,0.9871,High Risk,1,5,3,3
LEARNER_0667,Beginner,49.36,Low,0.9895,High Risk,0,6,3,2
LEARNER_0668,Intermediate,71.44,Moderate,0.0,Low Risk,1,2,6,3
LEARNER_0669,Advanced,83.57,High,0.0,Low Risk,8,0,1,3
LEARNER_0670,Intermediate,62.56,Moderate,0.0058,Low Risk,0,3,6,2
LEARNER_0671,Intermediate,65.31,Moderate,0.0004,Low Risk,3,2,4,1
LEARNER_0672,Advanced,90.2,High,0.0,Low Risk,9,0,0,3
LEARNER_0673,Intermediate,69.67,Moderate,0.0,Low Risk,2,2,5,2
LEARNER_0674,Advanced,92.57,High,0.0,Low Risk,9,0,0,2
LEARNER_0675,Beginner,72.44,Moderate,0.0,Low Risk,3,2,4,2
LEARNER_0676,Beginner,37.73,Low,1.0,High Risk,0,9,0,2
LEARNER_0677,Intermediate,72.62,Moderate,0.0,Low Risk,6,1,2,3
LEARNER_0678,Intermediate,66.03,Moderate,0.0008,Low Risk,4,3,2,3
LEARNER_0679,Advanced,78.09,High,0.0,Low Risk,8,0,1,2
LEARNER_0680,Intermediate,76.47,High,0.0,Low Risk,5,0,4,2
LEARNER_0681,Intermediate,60.07,Moderate,0.0167,Low Risk,1,6,2,3
LEARNER_0682,Beginner,48.84,Low,0.9882,High Risk,1,7,1,2
LEARNER_0683,Intermediate,61.34,Moderate,0.014,Low Risk,0,3,6,3
LEARNER_0684,Beginner,46.99,Low,0.9961,High Risk,0,8,1,3
LEARNER_0685,Beginner,51.33,Moderate,0.953,High Risk,1,5,3,2
